Student ID,Math Score,Science Score,English Score,Social Studies Score,Interest,Logical Aptitude,Verbal Aptitude,Quantitative Aptitude,Career Interest,Recommended Stream
1,82,63,98,100,Commerce,77,87,96,Economist,Arts
2,85,63,57,66,Arts,79,69,81,Writer,Commerce
3,91,75,91,65,Science,88,92,82,Doctor,Arts
4,72,66,66,78,Arts,91,83,86,Designer,Arts
5,58,69,73,60,Commerce,75,75,62,Entrepreneur,Commerce
6,50,79,88,71,Science,72,73,94,Engineer,Commerce
7,78,62,75,71,Arts,74,61,76,Designer,Commerce
8,77,85,89,58,Commerce,63,66,82,Economist,Commerce
9,70,91,94,79,Commerce,62,89,97,Banker,Arts
10,68,62,82,77,Arts,92,87,79,Journalist,Arts
11,59,50,70,82,Arts,93,96,77,Artist,Arts
12,65,56,100,99,Commerce,68,89,91,Entrepreneur,Arts
13,72,56,72,63,Arts,70,73,100,Designer,Commerce
14,95,66,83,64,Science,100,84,77,Architect,Arts
15,92,61,89,94,Science,81,77,60,Doctor,Arts
16,86,58,70,93,Commerce,98,79,88,Accountant,Arts
17,65,79,66,77,Science,84,76,76,Scientist,Commerce
18,69,57,89,57,Arts,64,73,68,Writer,Commerce
19,64,55,93,68,Commerce,91,88,73,Economist,Arts
20,65,50,64,95,Science,73,99,92,Doctor,Arts
21,63,99,70,91,Commerce,76,86,64,Entrepreneur,Arts
22,56,56,70,95,Science,66,62,93,Doctor,Arts
23,58,81,55,100,Commerce,72,68,63,Banker,Arts
24,86,67,69,73,Arts,96,71,82,Journalist,Commerce
25,100,94,54,55,Commerce,86,70,95,Banker,Science
26,84,52,75,98,Arts,85,78,77,Writer,Arts
27,85,59,64,96,Science,81,95,77,Architect,Arts
28,64,84,88,52,Commerce,98,61,90,Accountant,Commerce
29,66,94,50,98,Science,74,75,99,Scientist,Arts
30,85,51,51,70,Commerce,78,74,72,Economist,Commerce
31,72,51,71,99,Science,91,66,100,Architect,Arts
32,67,92,62,86,Arts,95,70,62,Journalist,Arts
33,51,91,61,68,Commerce,96,85,82,Banker,Arts
34,73,74,97,84,Commerce,62,91,67,Economist,Arts
35,93,93,65,74,Commerce,80,66,63,Economist,Science
36,85,91,95,79,Arts,92,77,94,Designer,Science
37,71,93,52,61,Arts,78,100,97,Designer,Arts
38,100,94,93,70,Arts,71,95,96,Artist,Science
39,71,73,88,60,Arts,99,89,92,Artist,Arts
40,73,75,71,93,Science,79,78,62,Architect,Arts
41,83,56,94,97,Science,97,70,87,Architect,Arts
42,92,60,56,53,Science,62,91,90,Scientist,Arts
43,67,87,52,75,Arts,99,87,95,Designer,Arts
44,88,92,97,98,Commerce,61,68,81,Economist,Science
45,64,78,89,86,Arts,64,72,61,Designer,Arts
46,79,89,64,54,Arts,65,100,63,Journalist,Arts
47,64,68,62,72,Science,68,81,76,Engineer,Arts
48,58,87,65,63,Science,91,89,60,Doctor,Arts
49,64,95,56,87,Commerce,72,83,94,Banker,Arts
50,85,63,54,65,Science,91,68,87,Doctor,Commerce
51,57,51,78,68,Commerce,87,90,79,Accountant,Arts
52,86,68,64,95,Science,86,68,73,Engineer,Arts
53,52,57,96,70,Science,66,92,64,Doctor,Arts
54,62,86,68,88,Science,86,86,100,Scientist,Arts
55,86,80,76,72,Arts,62,76,62,Writer,Science
56,63,91,78,64,Science,71,60,83,Architect,Commerce
57,59,55,98,88,Science,97,95,82,Doctor,Arts
58,66,94,79,77,Science,74,80,90,Doctor,Arts
59,69,90,82,57,Commerce,85,62,65,Accountant,Commerce
60,84,51,60,73,Science,90,65,94,Scientist,Commerce
61,90,86,67,73,Commerce,89,72,61,Banker,Science
62,91,95,77,51,Arts,98,99,74,Journalist,Science
63,60,51,87,89,Arts,62,78,69,Artist,Arts
64,82,67,72,64,Commerce,62,98,85,Entrepreneur,Arts
65,74,64,50,60,Arts,67,99,96,Journalist,Arts
66,57,68,66,82,Arts,79,99,72,Journalist,Arts
67,67,60,78,54,Science,86,68,83,Engineer,Commerce
68,52,84,89,100,Commerce,82,97,93,Accountant,Arts
69,62,75,74,98,Commerce,78,68,95,Entrepreneur,Arts
70,77,85,100,55,Commerce,60,68,64,Economist,Commerce
71,76,84,96,69,Arts,85,81,94,Designer,Arts
72,99,62,55,59,Arts,97,81,99,Artist,Arts
73,94,77,58,51,Arts,96,80,73,Writer,Arts
74,97,52,89,95,Science,86,65,91,Engineer,Arts
75,99,53,54,97,Commerce,92,96,82,Accountant,Arts
76,87,68,93,77,Arts,61,89,92,Writer,Arts
77,100,84,68,82,Arts,99,100,80,Journalist,Science
78,84,95,89,95,Commerce,82,87,89,Accountant,Science
79,52,54,62,86,Arts,71,73,62,Designer,Arts
80,88,78,60,96,Commerce,61,80,100,Banker,Arts
81,99,89,82,78,Arts,63,65,68,Artist,Science
82,76,90,77,81,Arts,69,65,67,Designer,Arts
83,95,81,56,82,Arts,83,92,75,Artist,Science
84,94,87,86,80,Science,78,65,70,Scientist,Science
85,83,75,99,78,Science,78,65,73,Scientist,Commerce
86,53,60,62,71,Arts,80,91,83,Designer,Arts
87,54,61,54,95,Arts,82,82,73,Designer,Arts
88,50,87,73,52,Arts,68,73,80,Designer,Commerce
89,61,83,58,95,Arts,90,68,79,Designer,Arts
90,74,72,63,60,Science,87,87,65,Doctor,Arts
91,67,72,73,68,Commerce,62,72,96,Accountant,Commerce
92,68,96,91,71,Arts,87,62,91,Designer,Commerce
93,64,92,58,55,Arts,71,70,100,Designer,Commerce
94,73,71,76,65,Commerce,98,89,64,Banker,Arts
95,59,57,65,91,Arts,79,81,74,Artist,Arts
96,92,62,77,53,Arts,78,72,80,Artist,Commerce
97,64,72,56,100,Arts,62,96,77,Artist,Arts
98,56,99,83,78,Science,96,92,87,Doctor,Arts
99,58,69,96,50,Commerce,76,70,65,Entrepreneur,Commerce
100,68,69,81,61,Commerce,81,71,63,Accountant,Commerce
101,66,92,87,67,Science,90,71,74,Doctor,Commerce
102,68,93,76,100,Commerce,86,88,80,Accountant,Arts
103,95,55,74,71,Arts,100,70,88,Journalist,Commerce
104,81,86,70,59,Arts,61,86,75,Journalist,Science
105,53,87,61,92,Arts,63,69,72,Journalist,Arts
106,72,60,88,94,Science,61,77,75,Doctor,Arts
107,64,65,72,83,Commerce,76,91,65,Economist,Arts
108,53,52,91,89,Commerce,60,91,81,Entrepreneur,Arts
109,98,60,85,97,Commerce,85,64,80,Banker,Arts
110,90,66,93,76,Commerce,72,87,89,Banker,Arts
111,58,88,54,72,Commerce,78,87,88,Entrepreneur,Arts
112,74,91,100,66,Commerce,76,84,91,Accountant,Arts
113,52,51,58,97,Commerce,63,91,77,Economist,Arts
114,99,94,75,74,Science,92,81,73,Scientist,Science
115,68,68,76,89,Science,63,89,61,Doctor,Arts
116,57,70,54,62,Science,75,96,65,Architect,Arts
117,99,86,55,78,Science,62,74,94,Scientist,Science
118,79,62,54,79,Arts,80,76,97,Artist,Commerce
119,70,73,71,99,Commerce,65,71,94,Entrepreneur,Arts
120,93,87,64,52,Arts,87,64,63,Writer,Science
121,55,60,82,51,Commerce,77,91,64,Accountant,Arts
122,66,83,51,78,Arts,86,61,93,Journalist,Commerce
123,81,83,74,93,Science,61,98,86,Architect,Science
124,56,79,64,99,Arts,78,95,62,Artist,Arts
125,75,77,95,68,Science,100,76,96,Doctor,Commerce
126,58,85,88,67,Commerce,70,61,99,Accountant,Commerce
127,94,78,92,67,Commerce,79,62,66,Entrepreneur,Commerce
128,58,68,71,94,Commerce,68,63,99,Banker,Arts
129,79,82,91,56,Commerce,72,60,76,Economist,Commerce
130,78,90,51,91,Science,72,63,77,Architect,Arts
131,75,92,70,51,Science,93,99,60,Engineer,Arts
132,99,73,78,61,Science,68,65,99,Scientist,Commerce
133,79,94,60,74,Commerce,87,74,82,Economist,Commerce
134,91,82,89,55,Commerce,79,88,95,Entrepreneur,Science
135,77,89,84,84,Commerce,62,92,64,Banker,Arts
136,59,66,56,56,Commerce,61,63,76,Economist,Commerce
137,57,91,76,81,Arts,66,82,74,Journalist,Arts
138,79,59,88,67,Arts,67,80,92,Writer,Arts
139,91,52,65,62,Commerce,75,95,83,Accountant,Arts
140,56,70,52,53,Commerce,78,98,76,Banker,Arts
141,58,57,54,62,Commerce,66,60,93,Accountant,Commerce
142,63,66,82,70,Science,80,74,87,Doctor,Commerce
143,87,53,52,86,Science,61,67,89,Doctor,Arts
144,61,77,73,98,Science,64,85,63,Engineer,Arts
145,73,82,52,79,Arts,83,95,66,Artist,Arts
146,96,75,90,50,Arts,61,95,76,Writer,Arts
147,88,61,79,78,Science,98,100,66,Scientist,Arts
148,55,99,59,99,Science,92,63,83,Doctor,Arts
149,67,55,71,60,Commerce,87,71,100,Banker,Commerce
150,58,86,96,74,Commerce,65,95,83,Entrepreneur,Arts
151,91,76,81,62,Science,88,62,89,Architect,Commerce
152,74,69,100,59,Arts,82,69,86,Writer,Commerce
153,54,85,57,85,Commerce,100,80,95,Economist,Arts
154,100,92,79,56,Science,66,68,65,Engineer,Science
155,52,58,77,71,Commerce,95,78,97,Economist,Commerce
156,50,80,92,78,Science,93,95,64,Scientist,Arts
157,87,54,89,76,Commerce,77,75,61,Entrepreneur,Commerce
158,71,78,67,94,Commerce,95,74,93,Accountant,Arts
159,81,93,53,72,Commerce,84,100,96,Economist,Science
160,76,71,76,76,Arts,85,88,93,Writer,Arts
161,75,74,89,99,Commerce,79,99,73,Entrepreneur,Arts
162,59,74,88,100,Arts,80,89,62,Artist,Arts
163,83,77,63,66,Arts,85,82,65,Artist,Arts
164,67,87,75,75,Arts,72,79,89,Designer,Commerce
165,58,58,65,61,Commerce,80,90,85,Economist,Arts
166,61,83,94,87,Arts,76,91,65,Journalist,Arts
167,76,76,75,95,Commerce,62,95,75,Accountant,Arts
168,54,73,56,60,Arts,95,79,77,Journalist,Commerce
169,60,51,52,65,Science,84,91,62,Scientist,Arts
170,79,64,82,83,Science,85,81,95,Doctor,Arts
171,54,72,68,60,Arts,60,93,98,Writer,Arts
172,79,58,60,61,Arts,93,98,64,Writer,Arts
173,100,60,81,96,Science,74,77,98,Architect,Arts
174,60,83,78,81,Commerce,72,94,96,Banker,Arts
175,76,71,68,65,Commerce,67,83,92,Economist,Arts
176,81,57,89,72,Arts,74,60,93,Designer,Commerce
177,90,89,92,88,Commerce,61,62,83,Economist,Science
178,61,99,52,99,Science,86,70,88,Engineer,Arts
179,50,60,71,63,Commerce,68,78,88,Accountant,Commerce
180,96,94,83,74,Commerce,91,93,60,Banker,Science
181,80,98,72,62,Science,90,84,95,Architect,Science
182,63,82,83,94,Science,93,73,73,Doctor,Arts
183,55,85,95,87,Science,68,100,80,Engineer,Arts
184,82,72,93,78,Science,73,93,81,Engineer,Arts
185,73,67,51,63,Arts,74,89,95,Journalist,Arts
186,91,81,83,94,Science,60,84,63,Scientist,Science
187,91,93,98,82,Arts,90,63,69,Writer,Science
